,lam1.pct,lam2.pct,lam3.pct,max_nonlam,symbol,l1_v_lc,l1_v_nl,l2_v_lc,l2_v_nl,l3_v_lc,l3_v_nl
ENSG00000188976,21.4723926380368,21.7391304347826,4.8780487804878,26.7962308598351,NOC2L,0.987730061349693,0.801321378008495,1.01242236024845,0.811275680840898,0.224390243902439,0.182042347896006
ENSG00000188290,33.1288343558282,28.695652173913,9.75609756097561,72.5274725274725,HES4,1.15448968209704,0.456776352481874,0.866183574879227,0.395652173913043,0.294489611562782,0.134515890613452
ENSG00000187608,25.1533742331288,35.6521739130435,11.7073170731707,45.9858323494687,ISG15,0.705521472392638,0.54698094930578,1.41739130434783,0.775286041189931,0.328375966686496,0.25458530323429
ENSG00000078808,52.1472392638037,48.695652173913,19.0243902439024,63.4408602150538,SDF4,1.07088080631025,0.821981907039617,0.93381074168798,0.767575534266765,0.364820659971306,0.299875981810666
ENSG00000160087,31.9018404907975,30.4347826086957,9.26829268292683,31.989247311828,UBE2J2,1.04820333041192,0.997267618703923,0.954013377926421,0.951406649616368,0.290525328330206,0.28973150235704
ENSG00000131584,19.0184049079755,11.304347826087,2.92682926829268,13.1720430107527,ACAP3,1.68239735724398,1.4438462501565,0.594389901823282,0.858207630878438,0.153894571203777,0.222200099552016
ENSG00000169972,12.2699386503067,7.82608695652174,1.46341463414634,10.4395604395604,PUSL1,1.56782549420586,1.17533096545044,0.637826086956522,0.749656750572082,0.119268292682927,0.14017971758665
ENSG00000127054,28.2208588957055,21.7391304347826,7.31707317073171,34.9462365591398,INTS11,1.29815950920245,0.807550731477112,0.770321361058601,0.622073578595318,0.259278897136797,0.2093808630394
ENSG00000224051,12.2699386503067,11.304347826087,1.95121951219512,12.8205128205128,CPTP,1.08541764983483,0.957055214723927,0.921304347826087,0.881739130434783,0.159024390243902,0.15219512195122
ENSG00000162576,53.3742331288344,53.9130434782609,13.1707317073171,53.5527299925206,MXRA8,0.990005937067089,0.996666895157144,1.01009495252374,1.00672820014574,0.244295830055075,0.245939501294454
ENSG00000175756,62.5766871165644,57.3913043478261,25.8536585365854,65.3225806451613,AURKAIP1,1.09035136642499,0.957964099068394,0.917135549872123,0.878582930756844,0.413151602104256,0.395784402288467
ENSG00000221978,44.1717791411043,31.304347826087,14.6341463414634,31.989247311828,CCNL2,1.41104294478528,1.3808320874362,0.708695652173913,0.978589696748265,0.33130081300813,0.457470793195327
ENSG00000242485,60.1226993865031,50.4347826086956,30.2439024390244,67.432273262662,MRPL20,1.19208800507722,0.891601253784124,0.838864241348713,0.747932409341181,0.503036336485814,0.448507828309724
ENSG00000160072,10.4294478527607,3.47826086956522,3.41463414634146,15.5913978494624,ATAD3B,2.99846625766871,0.668923207108102,0.333503836317136,0.223088455772114,0.327403156384505,0.219007569386039
ENSG00000197785,11.0429447852761,11.304347826087,5.85365853658537,15.5913978494624,ATAD3A,0.976875884851345,0.708271631055638,1.02367149758454,0.72503748125937,0.517823639774859,0.375441547518924
ENSG00000160075,54.601226993865,58.2608695652174,25.8536585365854,67.2043010752688,SSU72,0.937185239446937,0.812466257668712,1.06702491450904,0.866921739130435,0.443756825627958,0.38470243902439
ENSG00000272106,14.1104294478528,6.08695652173913,2.4390243902439,10.2532679738562,AL691432.2,2.31814198071867,1.37618849754357,0.431379962192817,0.593660142040534,0.172852598091198,0.237877757263628
ENSG00000197530,23.3128834355828,15.6521739130435,6.82926829268293,24.4623655913978,MIB2,1.48943421949557,0.953010180004045,0.671395881006865,0.639847109412327,0.292939666238768,0.279174484052533
ENSG00000189409,42.9447852760736,27.8260869565217,14.1463414634146,44.6236559139785,MMP23B,1.5433282208589,0.962377115825264,0.647950310559006,0.623572551073861,0.329407665505226,0.317014399059653
ENSG00000248333,25.1533742331288,21.7391304347826,6.82926829268293,21.3274336283186,CDK11B,1.15705521472393,1.17939057607617,0.864262990455992,1.0193036261952,0.27150505651398,0.320210505009614
ENSG00000189339,17.7914110429448,6.95652173913043,1.95121951219512,16.421568627451,SLC35E2B,2.55751533742331,1.08341726948082,0.391004497751124,0.423621025308241,0.109671993271657,0.118820531488897
ENSG00000008128,20.8588957055215,15.6521739130435,3.90243902439024,18.141592920354,CDK11A,1.33265167007498,1.14978303157265,0.750383631713555,0.862778366914104,0.187087517934003,0.21511005353956
ENSG00000008130,26.9938650306748,13.0434782608696,9.75609756097561,22.5806451612903,NADK,2.06952965235174,1.1954425942156,0.483201581027668,0.577639751552795,0.361419068736142,0.43205574912892
ENSG00000078369,57.6687116564417,45.2173913043478,23.4146341463415,45.8407079646018,GNB1,1.27536573855592,1.25802401876021,0.7840888066605,0.986402551619943,0.406019719771666,0.510782559563047
ENSG00000067606,19.6319018404908,10.4347826086957,2.4390243902439,61.5819209039548,PRKCZ,1.88139059304703,0.318793268418979,0.531521739130435,0.169445552453131,0.124237804878049,0.0396061758782725
ENSG00000162585,56.441717791411,49.5652173913044,25.8536585365854,56.7204301075269,FAAP20,1.1387364115811,0.995086209403076,0.878166351606805,0.873851226045745,0.458059384941676,0.455808577043116
ENSG00000157933,39.8773006134969,22.6086956521739,15.1219512195122,37.0812038614424,SKI,1.76380368098159,1.07540469188925,0.56695652173913,0.609707703575471,0.37921200750469,0.407806372091286
ENSG00000157916,49.079754601227,52.1739130434783,17.0731707317073,58.7912087912088,RER1,0.940695296523517,0.834814517516197,1.06304347826087,0.887444128403088,0.327235772357724,0.290403464782311
ENSG00000157911,12.2699386503067,13.0434782608696,3.90243902439024,16.3003663003663,PEX10,0.940695296523517,0.752740056524437,1.06304347826087,0.800195407914021,0.299186991869919,0.239408057001918
ENSG00000157873,66.2576687116564,35.6521739130435,18.0487804878049,36.6300366300366,TNFRSF14,1.85844680532695,1.80883435582822,0.538083735909823,0.973304347826087,0.272402890695574,0.492731707317073
ENSG00000162591,14.7239263803681,6.08695652173913,4.8780487804878,17.6271186440678,MEGF6,2.41893076248904,0.835299669655498,0.413405797101449,0.345317725752508,0.33130081300813,0.276735459662289
ENSG00000158109,14.1104294478528,10.4347826086957,3.90243902439024,25,TPRG1L,1.35224948875256,0.56441717791411,0.739508506616257,0.417391304347826,0.276564156945917,0.15609756097561
ENSG00000130764,21.4723926380368,17.3913043478261,5.85365853658537,20.6959706959707,LRRC47,1.23466257668712,1.03751560888213,0.809937888198758,0.840323201231243,0.272613240418118,0.282840492121735
ENSG00000116198,22.0858895705521,12.1739130434783,9.26829268292683,30.1470588235294,CEP104,1.81419807186678,0.732605117462218,0.551207729468599,0.403817603393425,0.419647696476965,0.307436049970256
ENSG00000198912,16.5644171779141,11.304347826087,2.4390243902439,15.7509157509158,C1orf174,1.46531382727702,1.05164788129548,0.682447665056361,0.717694641051567,0.147244805781391,0.154849688031764
ENSG00000116251,76.0736196319018,73.9130434782609,77.0731707317073,98.3870967741936,RPL22,0.987031140793663,0.773207281504576,0.958998348926802,0.751247327156094,1.01313926042486,0.783366653338665
ENSG00000116237,24.5398773006135,19.1304347826087,6.34146341463415,26.1846405228758,ICMT,1.28276631344116,0.937185953695817,0.779565217391304,0.730597571728956,0.258414634146341,0.242182565351395
ENSG00000097021,26.9938650306748,16.5217391304348,10.2439024390244,13.7096774193548,ACOT7,1.63383919922506,1.96896427282569,0.612055335968379,1.20511508951407,0.379490022172949,0.747202295552367
ENSG00000162408,20.2453987730061,13.9130434782609,7.80487804878049,14.4804088586031,NOL9,1.45513803680982,1.3981234211476,0.687220026350461,0.960818414322251,0.385513673318551,0.538995695839311
ENSG00000162413,23.3128834355828,10.4347826086957,3.90243902439024,20.1612903225806,KLHL21,2.23415132924335,1.15631901840491,0.447597254004577,0.517565217391304,0.167394094993582,0.193560975609756
ENSG00000116273,28.2208588957055,12.1739130434783,5.36585365853659,13.4408602150538,PHF13,2.31814198071867,2.09963190184049,0.431379962192817,0.905739130434783,0.190137857900318,0.399219512195122
ENSG00000041988,15.3374233128834,14.7826086956522,4.39024390243902,10.8160621761658,THAP3,1.037531577048,1.41802285000551,0.963826086956522,1.36672741473575,0.286243902439024,0.405900394333285
ENSG00000007923,21.4723926380368,11.304347826087,7.31707317073171,15.018315018315,DNAJC11,1.89948088721095,1.42974711955709,0.526459627329192,0.75270413573701,0.340766550522648,0.48720999405116
ENSG00000171735,71.7791411042945,58.2608695652174,39.5121951219512,71.7948717948718,CAMTA1,1.23203003387968,0.999780893952673,0.811668524712003,0.811490683229814,0.55046904315197,0.550348432055749
ENSG00000049245,46.0122699386503,29.5652173913043,14.6341463414634,43.010752688172,VAMP3,1.556297365572,1.06978527607362,0.642550724637681,0.687391304347826,0.318048780487805,0.340243902439024
ENSG00000049246,28.8343558282209,17.3913043478261,7.80487804878049,22.6130653266332,PER3,1.6579754601227,1.27511929107021,0.603145235892692,0.769082125603865,0.270679813181111,0.345149051490515
ENSG00000116288,71.1656441717791,66.0869565217391,52.6829268292683,83.3333333333333,PARK7,1.07684856312561,0.85398773006135,0.928635682158921,0.793043478260869,0.740285954583684,0.63219512195122
ENSG00000116285,80.3680981595092,41.7391304347826,33.6585365853659,85.4838709677419,ERRFI1,1.92548568507157,0.940155110545202,0.519349485562562,0.488269073010664,0.418804691863713,0.393741371375978
ENSG00000142599,75.4601226993865,49.5652173913044,27.8048780487805,61.437908496732,RERE,1.52244107200517,1.22823391202193,0.656839872746554,0.806753006475486,0.368471148126115,0.452568759730151
ENSG00000074800,67.4846625766871,63.4782608695652,33.6585365853659,85.7479387514723,ENO1,1.06311454744096,0.787012067686914,0.940632411067194,0.74028905876732,0.498758314855876,0.392528812650764
ENSG00000228526,16.5644171779141,14.7826086956522,3.90243902439024,15.3186274509804,MIR34AHG,1.12053410321184,1.08132515337423,0.892431561996779,0.965008695652174,0.235591689250226,0.254751219512195
ENSG00000049239,22.0858895705521,19.1304347826087,6.82926829268293,31.989247311828,H6PD,1.15448968209704,0.690416043718101,0.866183574879227,0.598027036901717,0.309214092140921,0.213486370157819
ENSG00000171621,58.2822085889571,40,23.9024390243902,63.9784946236559,SPSB1,1.45705521472393,0.910965613239161,0.686315789473684,0.625210084033613,0.410115532734275,0.373601147776184
ENSG00000171612,34.9693251533742,17.3913043478261,10.7317073170732,35.2150537634409,SLC25A33,2.01073619631902,0.993022057790474,0.497330282227307,0.493859940258878,0.3068891741549,0.304747719232917
ENSG00000231789,10.4294478527607,4.34782608695652,3.90243902439024,12.9032258064516,PIK3CD-AS2,2.39877300613497,0.808282208588957,0.416879795396419,0.33695652173913,0.374175035868006,0.302439024390244
ENSG00000171603,60.7361963190184,46.9565217391304,15.1219512195122,50.0816993464052,CLSTN1,1.29345603271984,1.21274232128024,0.773122529644269,0.937598411234839,0.248977580684898,0.30194564914654
ENSG00000178585,19.0184049079755,9.56521739130435,10.2439024390244,35.8974358974359,CTNNBIP1,1.85655857434999,0.529798422436459,0.502945301542777,0.266459627329193,0.538630999213218,0.285365853658537
ENSG00000162441,21.4723926380368,24.3478260869565,7.80487804878049,20.016339869281,LZIC,0.881901840490798,1.07274320771253,1.13391304347826,1.21639751552795,0.320557491289199,0.389925335988054
ENSG00000130939,51.5337423312883,28.695652173913,13.6585365853659,25.6535947712418,UBE4B,1.79587283881762,2.0088312297292,0.556832298136646,1.11858211021878,0.265040650406504,0.532421935684325
ENSG00000054523,63.8036809815951,47.8260869565217,18.5365853658537,38.7451680047577,KIF1B,1.33407696597881,1.64675195043058,0.749581939799331,1.23437552137208,0.290525328330206,0.478423151077251
ENSG00000142657,26.9938650306748,31.304347826087,10.2439024390244,38.4615384615385,PGD,0.862304021813224,0.701840490797546,1.1596837944664,0.813913043478261,0.327235772357724,0.266341463414634
ENSG00000160049,28.8343558282209,13.9130434782609,9.26829268292683,22.0430107526882,DFFA,2.07246932515337,1.30809516684124,0.482516188714154,0.631177094379639,0.321432278152569,0.420464009518144
ENSG00000142655,23.9263803680982,20.8695652173913,8.29268292682927,31.9035947712418,PEX14,1.14647239263804,0.749958759809274,0.872240802675585,0.654144630629628,0.346591619762351,0.259929421317261
ENSG00000120948,23.9263803680982,31.304347826087,7.31707317073171,29.3300653594771,TARDBP,0.764314928425358,0.815762940683904,1.30836120401338,1.06731258326269,0.233739837398374,0.249473469665059
